,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,consumer_comlaint_code,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
1,2022-11-20,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I have had our mortgage for over 20 years and ever since Bank of America took over our original mortgage company Countrywide, I have had on going issues. I have been trying to be able to prepay more than one periodic payment without it being applied to principal balance of the loan. I want to be able to make payments as often as I choose and for the life of the loan. 
I have spoken on the phone with the main customer service several times over the years. They would post my payments incorrectly. Each time I spoke to someone, I was given different instructions and was told flat out that I could not make additional payments at any time or make prepayments. With no explanation or help. 
On XX/XX/XXXX I spoke on separate occasions to 2 agents XXXX XXXX XXXX XXXX ). They both said that Bank of Americas policy was not allow early payments. Frustrated, I spoke to the Bank of America XXXX, XXXX branch manager. She tried to help, so it seemed, but nothing was resolved. 

Another phone call to customer service, I mentioned the clause I found in my statement below. I was told to mail a written request. Which I did on XX/XX/XXXX and have yet to receive a response or resolution. 

Paying your loan ahead You may prepay your periodic payments one month in advance. If you want to prepay more than one periodic payment, please contact us. Keep in mind that if you dont contact us or we dont receive written instruction from you, and you attempt to prepay more than one periodic payment, we will apply those payments to the principal balance of the loan. 

Then I received a letter dated XX/XX/XXXX, regarding our homeowners insurance premiums. On XX/XX/XXXX, I called the phone number XXXX listed on the letter to get some clarification. The recent letter was notification that Bank Of America paid our homeowners insurance premiums on our previous and current insurance policies, so youll need to cancel one of them and send us your premium refund. What did this mean??? 
First thought was, did our homeowners policy company change? SecondIf so, why were we not notified? Then of course confusion and so many other questions and concerns came up. After speaking to someone about this, she confirmed that our homeowners insurance policy holder was not changed and the last payment was XXXX. And that its all caught up and that the letter must have been sent in error. 
So, I asked the XXXX  lady about my previous issue. I explained all to her and she gave me another address to which I can send my concerns and complaints. I am sending it certified mail Monday XX/XX/XXXX. In the letter I advised them that I was also filing a claim with you. 
Every time I try to work with this bank, I have issues. Everyones hands are tied, employees are uninformed or show lack of knowledge of policies, XXXX etc. And no communication. So very frustrating and aggravating.",Mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,8734,NA,Consent provided,Web,2022-11-20,Closed with non-monetary relief,Yes,N/A,6226489
2,2022-11-16,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I contacted Bank of America about dropping the PMI insurance from my mortgage since our house has appreciated and we now owe less than 80 % of the home value based on market price. I was told they have a process to reevaluate the home based on the market price and comps within the area. Today, I received a letter stating they can't drop PMI within the first 2 years ( which they did not state before ). They said the only example of dropping the PMI within the first 2 years is if I make a lump sum payment to reduce the loan value to less than 80 % of the original price",PMI,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32082,NA,Consent provided,Web,2022-11-16,Closed with explanation,Yes,N/A,6211293
3,2022-11-13,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I am writing to notify the CFPB about the inadequacy of BOA as lenders and their skirting of duties to pay our property tax on time. 

This Spring, we received a secured property tax from XXXX XXXX XXXX, specifically Escaped back taxes for XXXX XXXX ( {$3400.00} ). In XX/XX/2022, when we initially contacted BOA about this tax bill, we were told that this tax bill was BOA 's responsibility and it would be paid out of our escrow. Several weeks later we noticed that the tax bill was still not paid, and when we called to check on the status of the payment, we were told that they were still working on payment. We called back later again to speak to the BOA escrow department, and at that point were told that it was our responsibility to pay this tax bill. At this point, we were already being charged a late fee ( {$380.00} ) which we could have avoided if we had been given the correct information ( that the Escaped Back Taxes were our responsibility ) when we initially called. We believe that the late fee should not have come out of our escrow but should have been paid for by BOA because of the incorrect information we were given when we initially asked for guidance. 

This Fall, we've had to chase down the BOA mortgage to pay our property tax bill as well. Initially, we noticed that there was no fund extracted or prepared for the property tax due in XXXX. We called BOA and they gave us the completely wrong property tax amount ( half of what was actually due ), which I corrected. The next time I called back, they confirmed that they had the correct property tax amount which was being prepared to be paid. This has yet to happen. Our property tax was due XX/XX/XXXX and it is now XX/XX/XXXX and there is still no payment that is in process when I call into the automated line.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94080,NA,Consent provided,Web,2022-11-13,Closed with explanation,Yes,N/A,6199408
4,2022-11-11,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"We received letter dated XX/XX/22 from BOA saying our escrow account doesn't include covering property taxes.We sent a response that day telling them the statement includes an escrow amount monthly of XXXX for taxes and insurance. The annual tax is XXXX The annual insurance premium is XXXX. Therefore BOA is escrowing for taxes. We advised them we were filing this complaint and asked them why they are deducting for real estate taxes and not paying the taxes. Since BOA is collecting taxes and insurance we told them they are responsible for paying the taxes totaling XXXX per annum. 
The monthly cost is XXXX per month. Now we get a response that BOA doesn't know who we are so we are filing this and sending another letter to them so they can't ignore our complaint.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MO,65648,NA,Consent provided,Web,2022-11-11,Closed with explanation,Yes,N/A,6188024
5,2022-10-31,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"CFPB and FTC and XXXX XXXX COMPLAINT A formal complaint against Bank of America for selling/transferring my mortgage servicing to XXXX XXXX XXXX XXXX XXXX XXXX. BoA either knew or should have known how poorly rated XXXX is and how many consumer complaints exist and their transfer was so reckless as to amount to intentional conduct calculated to cause harm to me. I have been a long-term customer of BoA. I believe they are either punishing me for claiming XXXX or are doing this unscrupulous action to make a wrongful profit. I have funds ready to pay XX/XX/XXXX payment. I wish to pay to XXXX XXXX or other "" escrow '' pending the reassignment of the mortgage servicer. I request a full inquiry into the business practices of both BoA and XXXX. I will be exploring the possibility of a class action lawsuit. 
Please respond ASAP. 
XXXX XXXX",Mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92646,Older American,Consent provided,Web,2022-10-31,Closed with explanation,Yes,N/A,6147222
6,2022-10-26,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"On XX/XX/2022 Bank of America wrote to me and copied the Office of Attorney General of Maryland that the Principal balance on my home loan ( {$190000.00} with finance charge of {$150000.00} = {$350000.00} ) was {$76000.00}. With an unapplied total sum of {$1100.00} As of XXXX, this lender claimed this amount to the XXXX Md. 
BOA in a rush to foreclose my property issued escalating a new bill in XX/XX/2022 of {$100000.00}. 
This is a predatory lending targeting vulnerable borrower to trap me in cycles of debt leading to foreclosure and bankruptcy. This is worth investigating and I attached herewith supporting papers for evidence.",Foreclosure process,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,21219,Older American,Consent provided,Web,2022-10-26,Closed with explanation,Yes,N/A,6131664
7,2022-10-21,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"In late XXXX XX/XX/XXXX I received my escrow statement showing that I would either have my monthly payment go up or I had to make a payment. I made this payment and Bank of America incorrectly applied this. I found this out on XX/XX/XXXX and immediately called. I was told that it would be fixed and applied properly and that I would get a statement on XX/XX/XXXX well before my due date of XX/XX/XXXX showing the correct amount. I received a statement on XX/XX/XXXX dated XX/XX/XXXX that showed the payments applied properly but did not correct my monthly payment to reflect this. I waited until today, XX/XX/XXXX to call as I had previously been assured that I would receive a correct statement on XX/XX/XXXX. Today I was told that the statement was incorrect but they would not provide me with a correct statement. I told them that I needed a correct statement so that A ) I would know the correct amount to pay and B ) so that I had a record especially since I had been told by them that I would have this corrected statement. Again, they told me no and that if I wanted a statement then I could wait until the end of XXXX when statements would be generated. This informed them would then cause my payment to be late, again, due by XX/XX/XXXX. Again, they told me this was the only option. This a sure fire way for people to be late on payments thus the start of the mortgage crises that we had in XXXX. They should be required to provide an accurate statement with the payee having enough time to get the payment to them on time. Bank of America clearly doesn't see it this way or care.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7410,NA,Consent provided,Web,2022-10-21,Closed with non-monetary relief,Yes,N/A,6113657
8,2022-10-15,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"On XX/XX/XXXX, we filed complaint XXXX XXXX. We have tried to find out what the problem was for two years as we kept getting delinquent notices, please review the prior documentation regarding this case. 
BofA was supposed to make the payments from a BofA escrow account to BofA 's mortgage. After countless phone calls and in person visits and raising this up to supervisors at BofA nothing was resolved. Every month a credit was made from our XXXX account to BofA escrow account on time. It seemed that no one at BofA could help us resolve this issue. 

We decided to cancel the BofA escrow account because of their incompetence in making our payments on time. 

We received a check dated XXXX for closing this escrow account on XXXX. We never found out where a payment was missing since the inception of our mortgage. BofA 's response to our initial complaint through CFPB, was received and there was one sentence that pointed out where the problem was, "" Please note, this check included a refund of the payment received in XX/XX/XXXX in the amount of {$1400.00} '' I am an XXXX XXXX and the horror you have put me through since the inception of my mortgage could have been resolved over this two-year period with the countless phone calls visiting branches imploring for help and assistance. 

Please review the letter received.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,93065,"Older American, Servicemember",Consent provided,Web,2022-10-15,Closed with monetary relief,Yes,N/A,6089783
9,2022-10-13,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"On or about XX/XX/2022 BANK OF AMERICA was sent a contract by way of Certified mail, the negotiable instrument contract stated "" I accept your offer in the amount of {$140000.00} for valuable consideration and tender this payment for the complete amount in accord and satisfaction upon redeeming this instrument ''. BANK OF AMERICA Finance redeemed the the instrument on or about XX/XX/2022. BANK OF AMERICA Finance has not honored the contract and continues to harass and Tarnish the credit of the allege Debtor. BANK OF AMERICA is currently extorting allege Debtor fraudulently",Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,6518,NA,Consent provided,Web,2022-10-13,Closed with explanation,Yes,N/A,6082578
10,2022-10-11,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Bank of America either sold or transferred my mortgage to XXXX without notifying me and all attempts to obtain information is convoluted and unclear because I always made my payments to BofA. However in XX/XX/2022 they returned my payment, then XXXX started preforclosure on my property in XX/XX/2022. My XXXX  XXXX records show all payments to Bank of America were cashed.",Mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95827,NA,Consent provided,Web,2022-10-11,Closed with monetary relief,Yes,N/A,6073487
